id,section,description,command
43UNIX#,UNIX#,Search and display only matched regular expression case insensitive,"cat /tmp/delme | egrep -io ""execute_count=\d+$"" | uniq"
44UNIX#,UNIX#,Find the number of columns for the entire file (should always return one value),"cat ~/Downloads/tmo_2013_10_valid.csv | sed 's/[^\|]//g' | awk '/./ {print NR, length }' | cut -d ' ' -f2 | uniq"
45UNIX#,UNIX#,Find the number of columns,"awk -F "","" '{print NF}' uniqMovie.csv | head -1"
46UNIX#,UNIX#,shell date with hours minutes and seconds,date +%Y_%m_%d_%H%M%S
47UNIX#,UNIX#,shell date diff,"date --date=""222 days ago"" +%Y%m%d"
48UNIX#,UNIX#,Install GNU Parallel,(wget -O - pi.dk/3 || curl pi.dk/3/) | bash
49UNIX#,UNIX#,GNU Parallel,"cat listofthings.txt | parallel --max-procs=8 --group 'echo ""Thing: {}""'"
50UNIX#,UNIX#,System Level Global Variable in Unix (like export var=xx but for all users): add to file,/etc/environment
51UNIX#,UNIX#,Create a passwordless sudo access for user yash: in /etc/sudoers,yash         ALL = (ALL) NOPASSWD: ALL
52UNIX#,UNIX#,Create a passwordless ssh access to your machine:,file in ~/.ssh/
53UNIX#,UNIX#,Rsync copy files from local server to remote,rsync -avzhe ssh backup.tar --exclude='.git' root@remote_server:/path/to/dir
54UNIX#,UNIX#,Rsync copy files from remote server to local,rsync -avzhe ssh backup.tar --exclude='.git' root@remote_server:/path/to/dir
55UNIX#,UNIX#,List Ip Tables,sudo iptables -L
56UNIX#,UNIX#,Add someone to sudoers file,visudo
57UNIX#,UNIX#,Log of mail sent from a server using the mail command,tail -f /var/log/mail.log
58UNIX#,UNIX#,Generate random number,echo $RANDOM
59UNIX#,UNIX#,Get the filename from the file path,basename /home/yash/xman.h
60UNIX#,UNIX#,list details of file/folder (stuff you see in ls),stat /tmp
61UNIX#,UNIX#,tcpdump take dump of packets tcp,http://www.danielmiessler.com/study/tcpdump/
62UNIX#,UNIX#,Crontab Cron: Run every x minutes,*/x * * * * /path/to/script
63UNIX#,UNIX#,Crontab syntax for schedule,"*  *  *  *  * where order is min(0-59), hour(0-23), day of month(1-31), month(1-12), day of week(0-6 where Sunday=0)"
64UNIX#,UNIX#,Crontab syntax for every other hour,0 */2 * * *
65UNIX#,UNIX#,Power top,top - show list of processes - Press F to sort
66UNIX#,UNIX#,top Dump output of top to stdout once,top -b -n 1
67UNIX#,UNIX#,top Dump output of top to stdout once with full commands,top -c -b -n 1
68UNIX#,UNIX#,top Monitor certain pids,"top -p <pid1>, <pid2>"
69UNIX#,UNIX#,top monitor processes for a user,top -U username
70UNIX#,UNIX#,show list of processes,nmon
71UNIX#,UNIX#,Print all open file handles on a file,sudo lsof name/of/file
72UNIX#,UNIX#,Zsh unix search command history,"Ctrl + r , type the keyword and keep hitting Ctrl + r to go futher in the search"
73UNIX#,UNIX#,Shell script echo commands as your execute every line,#!/bin/bash -x
74UNIX#,UNIX#,Kill only pids containing a string,pkill -f <string>
75UNIX#,UNIX#,Shell script exit when one command in a script fails,#!/bin/bash -e
76UNIX#,UNIX#,Create file of size x bytes (binary),dd if=/dev/zero of=/path/to/desired/big/file count=1024
77UNIX#,UNIX#,Run last command with sudo,sudo !!
78UNIX#,UNIX#,Secure copy scp multiple files from a remote host,"scp your_username@remotehost.edu:~/\{foo.txt,bar.txt\} ."
79UNIX#,UNIX#,Secure copy scp multiple files from a remote host with ranges,"scp your_username@remotehost.edu:~/foo_00{1..6} . # copies foo_001, foo_002, fo.., foo_006"
80UNIX#,UNIX#,Split a file in to multiple files and tar,tar -cvf - <stuff to put in archive> | split --bytes=1m --suffix-length=4 --numeric-suffix - myarchive.tar.
81UNIX#,UNIX#,Merge the output of split - multiple files,cat arch/dw-master.tar.* | tar xvf -
82UNIX#,UNIX#,Amount of RAM on a box in gigabytes,free -mg
83UNIX#,UNIX#,paste the argument of the previous command,ESC + .
84UNIX#,UNIX#,Unix signal SIGINT Ctrl-C,"The SIGINT signal is sent to a process by its controlling terminal when a user wishes to interrupt the process. This is typically initiated by pressing Control-C, but on some systems, the ""delete"" character or ""break"" key can be used.[3]"
85UNIX#,UNIX#,Unix signal SIGTERM,"The SIGTERM signal is sent to a process to request its termination. Unlike the SIGKILL signal, it can be caught and interpreted or ignored by the process. This allows the process to perform nice termination releasing resources and saving state if appropriate. It should be noted that SIGINT is nearly identical to SIGTERM."
86UNIX#,UNIX#,Unix signal SIGKILL,"The SIGKILL signal is sent to a process to cause it to terminate immediately (kill). In contrast to SIGTERM and SIGINT, this signal cannot be caught or ignored, and the receiving process cannot perform any clean-up upon receiving this signal."
87UNIX#,UNIX#,Unix signal SIGQUIT Ctrl-D,The SIGQUIT signal is sent to a process by its controlling terminal when the user requests that the process quit and perform a core dump.
88UNIX#,UNIX#,Unix signal SIGHUP,"The SIGHUP signal is sent to a process when its controlling terminal is closed. It was originally designed to notify the process of a serial line drop (a hangup). In modern systems, this signal usually means that the controlling pseudo or virtual terminal has been closed.[2]"
89UNIX#,UNIX#,Unix signal SIGSTP Ctrl-Z,"Suspends a process. This too, can be handled, ignored or blocked. Since it does not terminate the process, the process can be resumed by sending a SIGCONT signal. This signal can be generated by pressing Ctrl+Z. (Sidenote: Ctrl+Z stands for substitute character which indicates End-of-File in DOS)"
90UNIX#,UNIX#,Find files with regex,find . -path '.*/config.xml' | grep <search_string>
91UNIX#,UNIX#,remove files older than 5 days on unix,find /my_current_directory -mtime +5 -type f -delete
92UNIX#,UNIX#,print files modified in the last 24 hours,find /directory_path -type f -mtime -1 -print
93UNIX#,UNIX#,monitor cpu memory and other shit,nmon
94UNIX#,UNIX#,Free resident set size (rss res) memory on a server,free -g
95UNIX#,UNIX#,unix linux ubuntu get stats on what the pid is doing,strace -p PID
96UNIX#,UNIX#,Count number of forks a application makes,sudo strace -o /tmp/strace.log -fFv  python -m SimpleHTTPServer 8283
97UNIX#,UNIX#,Sum numbers,numbers | awk '{s+=$0} END {print s}'
98UNIX#,UNIX#,awk print lines from line number x onwards,awk 'NR > x' name/of/file
99UNIX#,UNIX#,print limit of open file handles,ulimit -a
100UNIX#,UNIX#,list all packages ubuntu,dpkg -l
101UNIX#,UNIX#,which user are you logged in as,whoami
102UNIX#,UNIX#,what users are logged in the box,who
103UNIX#,UNIX#,List open ssh connections to a server,Try netstat -atn | grep ':22'
104UNIX#,UNIX#,ssh default port is port 22,""
105UNIX#,UNIX#,Get all host names of a particular server,nslookup server_host.com
106UNIX#,UNIX#,Create simple http server on a port,python -m SimpleHTTPServer 8000
107UNIX#,UNIX#,Set up ssh tunnel from localhost:8000 to remote:8888,ssh -N root@remote_server -L 8000:localhost:8888
108UNIX#,UNIX#,Syslog location,cat /var/log/syslog
109UNIX#,UNIX#,Get encoding of a file,file -i name_of_file
110UNIX#,UNIX#,ID of the user as recognized by the system,id root
111UNIX#,UNIX#,Get user and group of the user,id -Gn username
112UNIX#,UNIX#,List users that can ssh,cat /etc/ssh/sshd_config
113UNIX#,UNIX#,Mount a directory on remote,"First, sudo mkdir /local/mount/point/directory Then, sudo mount ServerIP:/folder/already/setup/to/be/shared /loca/mount/point/directory"
114UNIX#,UNIX#,To make a permanent mount add the following to /etc/fstab,"servername:dir /mntpoint nfs rw,hard,intr 0 0"
115UNIX#,UNIX#,List all mounted devices (< partition >< mount point >< file system >< mount options >< dump >< fsck order >),cat /etc/mtab
116UNIX#,UNIX#,List all mounted/unmounted devices,cat /etc/fstab
117UNIX#,UNIX#,Show devices that use this host,showmount -a
118UNIX#,UNIX#,NFS,"export, exportfs"
119UNIX#,UNIX#,check if a port is open on a remote server,telnet host port_number or nc -vz -w 2 database-box-1.internal.com 27017
120UNIX#,UNIX#,Add sudo user,visudo then add the following line: user ALL=(ALL) ALL
121UNIX#,UNIX#,list all the users in unix,cat /etc/passwd
122UNIX#,UNIX#,make sub directories when necessary,mkdir -p path/to/directory
123UNIX#,UNIX#,export a env variable,export PATH=$PATH:/opt/bin:/usr/local/bin:$HOME/bin
124UNIX#,UNIX#,show environment variables,env
125UNIX#,UNIX#,Export a environment variable to all user,modify /etc/profile
126UNIX#,UNIX#,Print name of shell you are using,echo $0
127UNIX#,UNIX#,Get the current pid of the session,$$
128UNIX#,UNIX#,GZIP TAR - compress a directory,tar -zcvf dest_file.tar.gz /folder/to/compress
129UNIX#,UNIX#,To restore file,tar -zxvf dest_file.tar.gz [file/path/to/decompress]
130UNIX#,UNIX#,Generate a random password 16 characters,pwgen 16
131UNIX#,UNIX#,Create symlink symbolic link,ln -s /path/to/file-name link-name
132UNIX#,UNIX#,List all open ports,netstat -lnptu
133UNIX#,UNIX#,Set unix path environment variable,export GRADLE_HOME=/Users/yasha/Software/gradle-1.1
134UNIX#,UNIX#,Create User / password,useradd -m tom; passwd tom
135UNIX#,UNIX#,Add existing user to a group,usermod -G grpname uname
136UNIX#,UNIX#,in ~/.bashrc,alias ls='ls -lartSh'
137UNIX#,UNIX#,Find the unix linux distro operating system,cat /etc/*-release OR lsb_release -a
138UNIX#,UNIX#,Find the if 64 or 32 bit,uname -a
139UNIX#,UNIX#,Find the,cat /etc/group
140UNIX#,UNIX#,Change owner and group recursive,chown -R username:groupname <name_of_dir>
141UNIX#,UNIX#,Change Permission Recursive,"chmod -R 775 folder_name where 775 is (user, group, other)"
142UNIX#,UNIX#,Show the Processlist,"ps -ef | grep -i ""yash"""
143UNIX#,UNIX#,Octal Dump,cat file | od -cb
144UNIX#,UNIX#,FTP,ftp ftp://username:password@ftp.host.com
145UNIX#,UNIX#,Get IP Address of the current system,/sbin/ifconfig | less
146UNIX#,UNIX#,Get IP address,ip -f inet a | awk '/inet / { print $2 }' or ifconfig | sed -n 's/.*inet addr:\([0-9.]\+\)\s.*/\1/p'
147UNIX#,UNIX#,UNIX COMMENT:,COMMENT
148UNIX#,UNIX#,Change Password,passwd
149UNIX#,UNIX#,the file encoding,file <nameoffile> or file -I <nameoffile>
150UNIX#,UNIX#,Find files,find -name 'name_of_file'
151UNIX#,UNIX#,Find in files text,"grep -R yourstring /path/to/dir or find . -exec grep ""www.athabasca"" '{}' \; -print"
152UNIX#,UNIX#,Find on all disks,find / -name file.extension
153UNIX#,UNIX#,Find files using regular expressions. this will find files in dir ./chunker_somestring/lastSuccessful,"find -regex "".*chunker.*/lastSuccessful"" | xargs grep -r -i string_to_grep"
154UNIX#,UNIX#,Inline calculator in shell,"echo ""2/3"" | bc"
155UNIX#,UNIX#,Linux Directory Structure,http://linuxcommand.org/lts0040.php#root
156UNIX#,UNIX#,Show the bottom of the log file and refresh,tail -f filename
157UNIX#,UNIX#,To get the nth line of a file,head -45 foo.txt | tail -1
158UNIX#,UNIX#,Convert DOS to UNIX dos2unix file csv,tr '\r' '\n' < delme.csv > out.csv
159UNIX#,UNIX#,Daemon services using init.d,sudo service name_of_serive start/stop/restart
160UNIX#,UNIX#,See if a upstart service is running,status name_of_service
161UNIX#,UNIX#,Start upstart service,sudo start name_of_service
162UNIX#,UNIX#,Stop upstart service,sudo stop name_of_service
163UNIX#,UNIX#,upstart list all services,initctl list
164UNIX#,UNIX#,List space occupied by directories in current directory:,du -sk *
165UNIX#,UNIX#,List space global:,df -k
166UNIX#,UNIX#,Apply a certain rule on a certain type of file:,"find . -name ""*.bak"" -print0 | xargs -0 -I file mv file ~/old.files"
167UNIX#,UNIX#,find and replace in unix,sed -i 's/source/target/g' nameoffile
168UNIX#,UNIX#,find and replace in Mac OSX,sed -i '' 's/source/target/g' nameoffile
169UNIX#,UNIX#,grep the regexp pattern,grep -e pattern
170UNIX#,UNIX#,grep perform case insensitive matching,grep -i string
171UNIX#,UNIX#,grep display the line numbers,grep -n string
172UNIX#,UNIX#,grep display the non matching lines,grep -v string()
173UNIX#,UNIX#,grep display the matching pattern only and NOT the entire line,grep -o pattern
174GIT#,GIT#,###############################################################,git checkout tags/<tag>
175GIT#,GIT#,git remove a file from the index (will undo addition to the index),git reset HEAD <file>
176GIT#,GIT#,git show commits with abbreviated hash,"git log --pretty=format:""%h %an %s"""
177GIT#,GIT#,git show commits for a branch,git log --first-parent --no-merges
178GIT#,GIT#,git log show file names that have been modified,git log --name-status
179GIT#,GIT#,git config -l,git config remote.origin.url git@github.com:your_username/your_project.git
180GIT#,GIT#,Git Squash Commit (prefix every line to squash with s),git rebase -i master
181GIT#,GIT#,Git show remotes,git remote -v show
182GIT#,GIT#,Git ammend a previous commmit,git commit --amend
183GIT#,GIT#,Git remote add a new upstream,git remote add upstream yourrepo.git
184GIT#,GIT#,Git branches,https://github.com/Kunena/Kunena-2.0/wiki/Create-a-new-branch-with-git-and-manage-branches
185GIT#,GIT#,Git create a branch,git branch name_of_branch
186GIT#,GIT#,Git rename a branch,git branch -m old_branch new_branch
187GIT#,GIT#,Git push to branch,git push origin <branch name>
188GIT#,GIT#,Git Delete Branch,git branch -D <branch name>
189GIT#,GIT#,Git delete branch from remote,git push origin :newfeature
190GIT#,GIT#,Git do a diff with HEAD,git diff HEAD
191GIT#,GIT#,Git diff with a remote repo / github,git diff DATA-1724 gerrit/master
192GIT#,GIT#,Git do a diff with a particular branch,git difftool somebranch:UNREADME otherbranch:README
193GIT#,GIT#,Git diff with a previous commit,git diff 5cdfs6ed HEAD index.html
194GIT#,GIT#,Git reset to head,git reset --hard HEAD
195GIT#,GIT#,Git checkout previous commit,git checkout 1dcf2d
196GIT#,GIT#,Git undo changes to a file not staged for commit,git checkout -- filename
197GIT#,GIT#,Git merge branch to master,git merge branchname
198GIT#,GIT#,Git show list of branches,git branch
199GIT#,GIT#,Git Create branch,git branch branchname
200GIT#,GIT#,Git Remove a branch from local,git branch -D branchname
201GIT#,GIT#,Git Delete branch from github,git push origin --delete <branchName>
202GIT#,GIT#,Git reset to a previous state,git reset --hard to reset to a previous state. Use the git-reflog command to find the SHA-1 of the previous state and then reset to it.
203GIT#,GIT#,Git merge only certain files from a separate branch,git checkout branchname pathtofile1 pathtofile2
204GIT#,GIT#,Git revert to a previous commit,http://stackoverflow.com/questions/4114095/git-revert-to-previous-commit-how
205GIT#,GIT#,Git stash,git stash
206GIT#,GIT#,To list the stash,git stash list
207GIT#,GIT#,Git show log with file names that changed,git log --stat
208GIT#,GIT#,Git show changes for a specific branch only,git log master..
209GIT#,GIT#,Git cat a previous version,git show HEAD:name_of_file
210GIT#,GIT#,TO apply your changes,git stash --apply
